Mã loại xe      | Tên loại xe          
0               | Xe Thuong            
1               | Xe VIP               
2               | Xe Hop Dong          
---------------------------
Tổng: 3.

Mã TX   | Biển KS         | Tên tài xế                       | Loại xe       
         121             1 |              73.6 |  1,086,000
         122             7 |              72.7 |  1,072,500
         123            14 |              23.7 |    337,500
         124            17 |              36.5 |    529,500
         125            13 |              24.1 |    343,500
         126            16 |              45.3 |    661,500
         127             9 |                75 |  1,107,000
         128            12 |               9.1 |    118,500
         129             7 |              95.5 |  1,414,500
         130            19 |               9.7 |    127,500
         131             2 |              90.8 |  1,344,000
         132             9 |              24.5 |    349,500
         133             8 |              63.6 |    936,000
         134            17 |              86.6 |  1,281,000
         135            13 |                73 |  1,077,000
         136            10 |              96.6 |  1,431,000
         137            11 |              71.8 |  1,059,000
         138            15 |              11.1 |    148,500
         139            19 |              67.6 |    996,000
         140            14 |                36 |    522,000
         141             8 |              34.3 |    496,500
         142            14 |              89.3 |  1,321,500
         143             2 |              90.4 |  1,338,000
         144            10 |               7.8 |     99,000
         145            10 |              88.8 |  1,314,000
         146             2 |                59 |    867,000
         147             3 |              31.3 |    451,500
         148             1 |              85.4 |  1,263,000
         149             7 |              40.6 |    591,000
         150            10 |              98.7 |  1,462,500
         151             5 |              85.5 |  1,264,500
         152            17 |              20.7 |    292,500
         153            10 |              20.2 |    285,000
         154            14 |              77.3 |  1,141,500
         155            14 |              28.9 |    415,500
         156            20 |              27.8 |    399,000
         157             5 |              11.3 |    151,500
         158            19 |              65.9 |    970,500
         159             3 |              26.5 |    379,500
         160            15 |              20.6 |    291,000
         161            18 |              84.5 |  1,249,500
         162            10 |              53.7 |    787,500
         163            15 |              53.6 |    786,000
         164             1 |              12.8 |    174,000
         165             4 |              33.3 |    481,500
         166            15 |              22.7 |    322,500
         167            19 |              94.5 |  1,399,500
         168             9 |              20.6 |    291,000
         169            15 |               6.8 |     84,000
         170            12 |              27.4 |    393,000
         171            19 |              82.4 |  1,218,000
         172             6 |              83.8 |  1,239,000
         173             9 |              42.2 |    615,000
         174            12 |               2.2 |     15,000
         175            12 |              93.6 |  1,386,000
         176            16 |              98.2 |  1,455,000
         177            19 |              85.5 |  1,264,500
         178            13 |              58.6 |    861,000
         179            10 |               1.1 |     12,000
         180             6 |              64.9 |    955,500
         181             8 |                44 |    642,000
         182            17 |              72.7 |  1,072,500
         183             2 |                21 |    297,000
         184             9 |              70.4 |  1,038,000
         185            18 |              82.2 |  1,215,000
         186             9 |              37.4 |    543,000
         187            13 |              17.2 |    240,000
         188            20 |              92.9 |  1,375,500
         189             6 |              91.4 |  1,353,000
         190            12 |              84.4 |  1,248,000
         191            11 |                82 |  1,212,000
         192             7 |              10.2 |    135,000
         193            15 |              33.4 |    483,000
         194             5 |              55.9 |    820,500
         195            14 |              39.7 |    577,500
         196             8 |              39.2 |    570,000
         197            19 |              26.3 |    376,500
         198            17 |              45.9 |    670,500
         199            15 |              72.9 |  1,075,500
         200            17 |              33.8 |    489,000
         201             2 |              15.4 |    213,000
         202             9 |               7.6 |     96,000
         203            12 |              61.9 |    910,500
         204            14 |              48.5 |    709,500
         205            11 |              83.6 |  1,236,000
         206            10 |              50.6 |    741,000
         207            15 |              21.7 |    307,500
         208            10 |              48.4 |    708,000
         209             6 |              31.6 |    456,000
         210             7 |              75.4 |  1,113,000
         211            16 |                97 |  1,437,000
         212            17 |              57.5 |    844,500
         213            19 |              57.4 |    843,000
         214            12 |              87.1 |  1,288,500
         215            15 |              86.7 |  1,282,500
         216             3 |              16.7 |    232,500
         217            11 |              73.1 |  1,078,500
         218            14 |              62.2 |    915,000
         219            19 |              55.9 |    820,500
         220             1 |              60.2 |    885,000
         221            13 |              29.2 |    420,000
         222             8 |              40.1 |    583,500
         223             8 |                45 |    657,000
         224            18 |              96.9 |  1,435,500
         225             6 |              65.7 |    967,500
         226             9 |              22.9 |    325,500
         227            13 |              50.7 |    742,500
         228             9 |              26.9 |    385,500
         229            10 |              85.3 |  1,261,500
         230            18 |              84.7 |  1,252,500
         231             2 |              11.2 |    150,000
         232             9 |              88.1 |  1,303,500
         233             3 |                44 |    642,000
         234            13 |              78.2 |  1,155,000
         235             4 |              33.6 |    486,000
         236            12 |              69.2 |  1,020,000
         237             8 |              14.7 |    202,500
         238             2 |              46.5 |    679,500
         239            19 |               8.2 |    105,000
         240            17 |                17 |    237,000
         241             8 |               3.7 |     37,500
         242            10 |                47 |    687,000
         243            11 |              72.4 |  1,068,000
         244            12 |              85.9 |  1,270,500
         245            14 |              48.7 |    712,500
         246            11 |                61 |    897,000
         247            11 |                94 |  1,392,000
         248             8 |              13.6 |    186,000
         249            13 |              79.7 |  1,177,500
         250             1 |                 6 |     72,000
         251            15 |              88.8 |  1,314,000
         252             1 |              22.1 |    313,500
         253            13 |              35.2 |    510,000
         254             7 |              28.7 |    412,500
         255            18 |              28.2 |    405,000
         256            15 |                24 |    342,000
         257            13 |              28.8 |    414,000
         258             4 |              77.6 |  1,146,000
         259            10 |              76.5 |  1,129,500
         260             7 |              92.2 |  1,365,000
         261            19 |              38.1 |    553,500
         262             3 |              60.1 |    883,500
         263             9 |              59.1 |    868,500
         264            20 |              32.1 |    463,500
         265            15 |              24.7 |    352,500
         266             7 |              38.6 |    561,000
         267             1 |              28.2 |    405,000
         268             1 |              51.6 |    756,000
         269             5 |                39 |    567,000
         270            18 |              71.7 |  1,057,500
         271            14 |              58.5 |    859,500
         272            18 |              15.4 |    213,000
         273             6 |              87.9 |  1,300,500
         274             5 |              58.6 |    861,000
         275            12 |              32.7 |    472,500
         276            13 |              92.4 |  1,368,000
         277            18 |              29.3 |    421,500
         278            14 |              10.4 |    138,000
         279            17 |              65.6 |    966,000
         280             2 |              42.3 |    616,500
         281            14 |              10.4 |    138,000
         282             1 |              46.9 |    685,500
         283             8 |              39.1 |    568,500
         284             2 |              40.8 |    594,000
         285            11 |              28.4 |    408,000
         286            14 |              58.7 |    862,500
         287            13 |              20.7 |    292,500
         288            13 |               4.4 |     48,000
         289             6 |              69.7 |  1,027,500
         290            10 |              91.1 |  1,348,500
         291            16 |              20.5 |    289,500
         292             2 |              47.5 |    694,500
         293            12 |              46.5 |    679,500
         294             4 |              32.9 |    475,500
         295             2 |               8.4 |    108,000
         296             3 |              45.1 |    658,500
         297             9 |              63.2 |    930,000
         298             2 |              64.5 |    949,500
         299             4 |               9.1 |    118,500
         300             7 |              42.4 |    618,000
         301             5 |              22.8 |    324,000
         302            12 |              47.3 |    691,500
         303            14 |                54 |    792,000
         304             8 |              63.6 |    936,000
         305             2 |              95.9 |  1,420,500
         306            10 |              89.8 |  1,329,000
         307            13 |              67.7 |    997,500
         308             2 |              87.8 |  1,299,000
         309            17 |              93.2 |  1,380,000
         310            18 |              98.9 |  1,465,500
         311            19 |               7.4 |     93,000
         312             5 |              90.7 |  1,342,500
         313            18 |              77.4 |  1,143,000
         314            18 |              25.6 |    366,000
         315             9 |                87 |  1,287,000
         316            17 |              59.5 |    874,500
         317            17 |              62.9 |    925,500
         318            18 |              98.2 |  1,455,000
         319             9 |              66.7 |    982,500
         320            12 |              54.2 |    795,000
         321            15 |                60 |    882,000
         322            20 |              86.1 |  1,273,500
         323            20 |              81.9 |  1,210,500
         324            19 |              50.2 |    735,000
         325            13 |              65.2 |    960,000
         326             5 |              65.4 |    963,000
         327            12 |              77.1 |  1,138,500
         328             6 |              36.5 |    529,500
         329            12 |               1.6 |     12,000
         330             3 |              68.3 |  1,006,500
         331            16 |              88.4 |  1,308,000
         332             5 |              44.5 |    649,500
         333            13 |              40.9 |    595,500
         334            18 |              79.7 |  1,177,500
         335             4 |              92.3 |  1,366,500
         336             5 |                65 |    957,000
         337            14 |              42.1 |    613,500
         338            12 |              47.1 |    688,500
         339            16 |              95.6 |  1,416,000
         340             7 |              41.7 |    607,500
         341             7 |               1.5 |     12,000
         342            11 |              60.7 |    892,500
         343            14 |                 6 |     72,000
         344            11 |              94.4 |  1,398,000
         345             7 |                64 |    942,000
         346            11 |              94.9 |  1,405,500
         347             9 |              43.1 |    628,500
         348            15 |              60.1 |    883,500
         349            16 |              21.2 |    300,000
         350             3 |              91.5 |  1,354,500
         351            12 |               8.5 |    109,500
         352            19 |              50.9 |    745,500
         353            20 |              53.1 |    778,500
         354            19 |              73.3 |  1,081,500
         355            11 |              69.2 |  1,020,000
         356            20 |              79.7 |  1,177,500
         357             2 |              90.8 |  1,344,000
         358            13 |              36.8 |    534,000
         359             5 |              90.6 |  1,341,000
         360            20 |                81 |  1,197,000
         361             9 |              79.5 |  1,174,500
         362            20 |              11.5 |    154,500
         363            17 |              93.5 |  1,384,500
         364            12 |              73.3 |  1,081,500
         365            20 |              32.8 |    474,000
         366            11 |              81.2 |  1,200,000
         367            10 |              48.2 |    705,000
         368            14 |                58 |    852,000
         369             6 |              75.8 |  1,119,000
         370            11 |              60.4 |    888,000
         371            15 |              57.9 |    850,500
         372             6 |                12 |    162,000
         373            13 |              95.2 |  1,410,000
         374            16 |              64.2 |    945,000
         375            16 |              19.1 |    268,500
         376             8 |              95.8 |  1,419,000
         377            16 |              23.7 |    337,500
         378            10 |              33.9 |    490,500
         379            12 |              47.4 |    693,000
         380            19 |              83.3 |  1,231,500
         381             8 |              29.1 |    418,500
         382            17 |              62.9 |    925,500
         383             7 |              36.7 |    532,500
         384             3 |              14.2 |    195,000
         385            17 |                78 |  1,152,000
         386             9 |              80.6 |  1,191,000
         387            19 |              26.6 |    381,000
         388             1 |              19.5 |    274,500
         389             1 |              49.2 |    720,000
         390            20 |              15.9 |    220,500
         391             2 |              41.8 |    609,000
         392            15 |              95.1 |  1,408,500
         393            15 |              53.7 |    787,500
         394             7 |              90.3 |  1,336,500
         395             5 |              54.7 |    802,500
         396             5 |                74 |  1,092,000
         397            20 |              71.4 |  1,053,000
         398             1 |               3.8 |     39,000
         399             9 |              70.4 |  1,038,000
         400             5 |                61 |    897,000
         401            17 |              27.6 |    396,000
         402            17 |              24.1 |    343,500
         403             6 |              35.1 |    508,500
         404             6 |              47.4 |    693,000
         405             3 |              69.3 |  1,021,500
         406             4 |                56 |    822,000
         407             4 |                95 |  1,407,000
         408            14 |                34 |    492,000
         409             1 |              33.8 |    489,000
         410            17 |                67 |    987,000
         411            18 |              26.1 |    373,500
         412             8 |              75.4 |  1,113,000
         413             5 |              57.1 |    838,500
         414            17 |              81.9 |  1,210,500
         415            19 |              91.1 |  1,348,500
         416             7 |              79.5 |  1,174,500
         417            20 |              69.1 |  1,018,500
         418            17 |                34 |    492,000
         419             9 |              87.9 |  1,300,500
         420             3 |              82.4 |  1,218,000
         421            11 |              51.3 |    751,500
         422            13 |                12 |    162,000
         423            14 |                96 |  1,422,000
         424            20 |              87.4 |  1,293,000
         425            20 |              36.2 |    525,000
         426            10 |              62.6 |    921,000
         427            19 |              24.8 |    354,000
         428             1 |              58.9 |    865,500
         429             4 |              43.9 |    640,500
         430            15 |              17.4 |    243,000
         431             5 |              82.7 |  1,222,500
         432             4 |              16.9 |    235,500
         433            16 |              10.1 |    133,500
         434            11 |              82.2 |  1,215,000
         435             2 |              94.1 |  1,393,500
         436            16 |              57.8 |    849,000
         437             2 |              39.1 |    568,500
         438             9 |              89.7 |  1,327,500
         439            15 |              14.3 |    196,500
         440             8 |                99 |  1,467,000
         441            20 |                52 |    762,000
         442            19 |              12.6 |    171,000
         443             4 |              81.8 |  1,209,000
         444            11 |               6.4 |     78,000
         445            12 |                71 |  1,047,000
         446             1 |              17.5 |    244,500
         447            14 |               6.2 |     75,000
         448             6 |                37 |    537,000
         449            19 |              94.8 |  1,404,000
         450            13 |               7.2 |     90,000
         451             6 |              75.6 |  1,116,000
         452            14 |              56.1 |    823,500
         453             8 |              56.7 |    832,500
         454             8 |                97 |  1,437,000
         455            12 |                62 |    912,000
         456             9 |                14 |    192,000
         457             3 |              73.9 |  1,090,500
         458             3 |                88 |  1,302,000
         459            10 |               5.4 |     63,000
         460             3 |                29 |    417,000
         461             7 |              77.9 |  1,150,500
         462            12 |               9.4 |    123,000
         463            14 |               3.1 |     28,500
         464             5 |              21.2 |    300,000
         465             5 |              53.9 |    790,500
         466            19 |              11.1 |    148,500
         467            10 |              30.9 |    445,500
         468             2 |              66.9 |    985,500
         469             1 |               9.5 |    124,500
         470            10 |              75.1 |  1,108,500
         471             3 |              54.7 |    802,500
         472            10 |               4.4 |     48,000
         473             2 |              65.3 |    961,500
         474            13 |              15.8 |    219,000
         475             3 |              24.3 |    346,500
         476             4 |              94.3 |  1,396,500
         477            11 |              16.8 |    234,000
         478             2 |              31.2 |    450,000
         479             9 |              62.4 |    918,000
         480            13 |              75.5 |  1,114,500
         481             3 |              76.9 |  1,135,500
         482             3 |               5.1 |     58,500
         483            11 |              29.1 |    418,500
         484             7 |              24.8 |    354,000
         485            20 |               8.5 |    109,500
         486             6 |                 3 |     27,000
         487             1 |              18.8 |    264,000
         488            18 |              32.4 |    468,000
         489             7 |              64.2 |    945,000
         490             3 |                38 |    552,000
         491            18 |              90.4 |  1,338,000
         492            15 |               5.9 |     70,500
         493            19 |               1.2 |     12,000
         494             1 |              71.9 |  1,060,500
         495            10 |              68.5 |  1,009,500
         496             6 |              89.3 |  1,321,500
         497             4 |              31.1 |    448,500
         498            12 |               2.2 |     15,000
         499             8 |              13.6 |    186,000
         500            15 |              50.4 |    738,000
         501            11 |              92.7 |  1,372,500
         502             7 |              22.2 |    315,000
         503             1 |                83 |  1,227,000
         504            16 |              25.7 |    367,500
         505            12 |              70.8 |  1,044,000
         506             7 |              53.2 |    780,000
         507             2 |              76.5 |  1,129,500
         508            10 |              48.3 |    706,500
         509            13 |              71.6 |  1,056,000
         510            10 |              23.4 |    333,000
         511            10 |              34.6 |    501,000
         512            14 |              28.7 |    412,500
         513            19 |              65.6 |    966,000
         514            12 |              55.3 |    811,500
         515            16 |              63.8 |    939,000
         516             1 |              60.9 |    895,500
         517             1 |              40.9 |    595,500
         518             9 |              44.6 |    651,000
         519            11 |              94.8 |  1,404,000
         520             1 |                76 |  1,122,000
         521            13 |              17.5 |    244,500
         522            16 |              49.5 |    724,500
         523             8 |                97 |  1,437,000
         524            11 |              18.8 |    264,000
         525            13 |              66.3 |    976,500
         526            19 |              15.8 |    219,000
         527             8 |              46.7 |    682,500
         528            17 |              89.8 |  1,329,000
         529             6 |                57 |    837,000
         530             7 |              74.8 |  1,104,000
         531             2 |              23.3 |    331,500
         532             4 |              45.3 |    661,500
         533             7 |              53.8 |    789,000
         534            14 |              45.5 |    664,500
         535            11 |              39.6 |    576,000
         536            17 |                38 |    552,000
         537             8 |              51.9 |    760,500
         538             1 |              24.8 |    354,000
         539            16 |              31.5 |    454,500
         540            16 |              53.9 |    790,500
         541             3 |                 5 |     57,000
         542            13 |              16.1 |    223,500
         543            11 |              28.2 |    405,000
         544             8 |              93.1 |  1,378,500
         545            19 |              14.1 |    193,500
         546             4 |               4.1 |     43,500
         547            14 |              54.2 |    795,000
         548            18 |                59 |    867,000
         549            15 |              29.4 |    423,000
         550             4 |                63 |    927,000
         551            20 |                 2 |     12,000
         552             9 |              42.2 |    615,000
         553            20 |              89.5 |  1,324,500
         554             3 |              71.3 |  1,051,500
         555             8 |               7.8 |     99,000
         556            13 |              77.8 |  1,149,000
         557            12 |              85.3 |  1,261,500
         558             4 |               1.2 |     12,000
         559            16 |              86.6 |  1,281,000
         560             4 |                71 |  1,047,000
         561             1 |               3.7 |     37,500
         562            14 |              15.7 |    217,500
         563            10 |              74.2 |  1,095,000
         564             3 |              11.2 |    150,000
         565            16 |              20.7 |    292,500
         566            18 |                31 |    447,000
         567             4 |              22.6 |    321,000
         568             1 |              96.8 |  1,434,000
         569             5 |              75.2 |  1,110,000
         570            19 |              22.8 |    324,000
         571             7 |              73.9 |  1,090,500
         572             2 |              16.3 |    226,500
         573            10 |              32.3 |    466,500
         574            12 |              24.1 |    343,500
         575            15 |              46.2 |    675,000
         576             7 |              62.7 |    922,500
         577            11 |               5.2 |     60,000
         578             2 |              72.3 |  1,066,500
         579            11 |              18.5 |    259,500
         580            11 |               5.8 |     69,000
         581             1 |              52.5 |    769,500
         582            10 |              26.9 |    385,500
         583            12 |              92.7 |  1,372,500
         584            12 |              30.5 |    439,500
         585            19 |              40.3 |    586,500
         586            17 |              88.4 |  1,308,000
         587            15 |              50.5 |    739,500
         588             1 |              64.3 |    946,500
         589            14 |              81.2 |  1,200,000
         590            11 |              60.5 |    889,500
         591             1 |              40.8 |    594,000
         592            10 |              44.8 |    654,000
         593             6 |              56.4 |    828,000
         594            19 |              17.3 |    241,500
         595             9 |                86 |  1,272,000
         596             1 |              87.4 |  1,293,000
         597            16 |              88.6 |  1,311,000
         598            18 |              68.2 |  1,005,000
         599            10 |                79 |  1,167,000
         600            11 |              81.9 |  1,210,500
         601            20 |              20.5 |    289,500
         602             8 |              23.2 |    330,000
         603            15 |              33.4 |    483,000
         604            18 |              68.4 |  1,008,000
         605             8 |              63.4 |    933,000
         606             8 |              91.1 |  1,348,500
         607            16 |              66.3 |    976,500
         608            16 |              76.6 |  1,131,000
         609            11 |               5.3 |     61,500
         610            15 |              31.3 |    451,500
         611            12 |              79.4 |  1,173,000
         612            12 |              63.7 |    937,500
         613             1 |              74.7 |  1,102,500
         614            17 |               9.8 |    129,000
         615            12 |              50.8 |    744,000
         616             5 |              53.5 |    784,500
         617            14 |              24.1 |    343,500
         618            16 |              98.5 |  1,459,500
         619             6 |              68.1 |  1,003,500
         620             7 |              55.7 |    817,500
         621             2 |              54.4 |    798,000
         622             3 |              26.4 |    378,000
         623             6 |               1.2 |     12,000
         624            14 |              21.8 |    309,000
         625             7 |              19.1 |    268,500
         626            19 |              75.8 |  1,119,000
         627             1 |              40.7 |    592,500
         628             7 |              45.7 |    667,500
         629            10 |              69.7 |  1,027,500
         630            12 |              63.8 |    939,000
         631            15 |                75 |  1,107,000
         632             9 |              31.5 |    454,500
         633             5 |              94.9 |  1,405,500
         634             3 |              39.5 |    574,500
         635            15 |              20.6 |    291,000
         636            17 |                50 |    732,000
         637             5 |                28 |    402,000
         638            10 |              14.4 |    198,000
         639             4 |              67.7 |    997,500
         640            16 |                49 |    717,000
         641             5 |              92.6 |  1,371,000
         642            17 |              72.4 |  1,068,000
         643             9 |              17.8 |    249,000
         644            11 |              38.4 |    558,000
         645            17 |                35 |    507,000
         646             8 |              62.7 |    922,500
         647             9 |              72.8 |  1,074,000
         648            11 |              37.9 |    550,500
         649             4 |              76.1 |  1,123,500
         650            16 |              83.1 |  1,228,500
         651            19 |              48.2 |    705,000
         652             2 |              13.9 |    190,500
         653            17 |              66.7 |    982,500
         654             6 |                23 |    327,000
         655             5 |              14.9 |    205,500
         656            14 |              12.3 |    166,500
         657             6 |              47.6 |    696,000
         658             5 |              18.4 |    258,000
         659             2 |                 2 |     12,000
         660             4 |              56.7 |    832,500
         661             5 |              84.3 |  1,246,500
         662             1 |              99.4 |  1,473,000
         663            20 |                84 |  1,242,000
         664             9 |              66.8 |    984,000
         665             3 |                32 |    462,000
         666            15 |              58.9 |    865,500
         667            12 |                65 |    957,000
         668             1 |              48.9 |    715,500
         669             7 |              60.2 |    885,000
         670            19 |              67.4 |    993,000
         671            13 |              84.3 |  1,246,500
         672            15 |               5.7 |     67,500
         673             1 |              66.2 |    975,000
         674            18 |              73.4 |  1,083,000
         675             6 |              38.4 |    558,000
         676            11 |              50.8 |    744,000
         677             7 |              70.8 |  1,044,000
         678            11 |               7.3 |     91,500
         679            10 |              97.7 |  1,447,500
         680             8 |              18.6 |    261,000
         681            12 |              69.9 |  1,030,500
         682            17 |              79.9 |  1,180,500
         683             3 |                40 |    582,000
         684            19 |              80.4 |  1,188,000
         685            18 |               6.5 |     79,500
         686            20 |              21.3 |    301,500
         687             2 |              49.6 |    726,000
         688            13 |              27.5 |    394,500
         689             4 |                64 |    942,000
         690             3 |              76.4 |  1,128,000
         691            11 |               6.3 |     76,500
         692            12 |              16.9 |    235,500
         693             6 |              20.8 |    294,000
         694             1 |              23.5 |    334,500
         695             7 |              60.9 |    895,500
         696             7 |              50.1 |    733,500
         697             4 |              66.2 |    975,000
         698            20 |              64.9 |    955,500
         699            11 |              82.8 |  1,224,000
         700             1 |              53.6 |    786,000
         701            10 |              55.1 |    808,500
         702            16 |              44.6 |    651,000
         703             5 |              32.7 |    472,500
         704            20 |               6.4 |     78,000
         705             9 |              84.2 |  1,245,000
         706             8 |              54.8 |    804,000
         707             9 |              45.5 |    664,500
         708            17 |              12.6 |    171,000
         709            17 |               6.6 |     81,000
         710            10 |              68.7 |  1,012,500
         711             9 |              71.9 |  1,060,500
         712             6 |              58.9 |    865,500
         713             6 |               9.9 |    130,500
         714            13 |                25 |    357,000
         715             5 |              25.1 |    358,500
         716             8 |               4.9 |     55,500
         717             8 |                47 |    687,000
         718            17 |              51.4 |    753,000
         719            14 |              59.5 |    874,500
         720             9 |              99.3 |  1,471,500
         721            14 |              99.7 |  1,477,500
